stone 石頭
enderman_spawn_egg 終界使者 生怪蛋
endermite_spawn_egg 終界蟎 生怪蛋
evoker_spawn_egg 喚魔者 生怪蛋
fox_spawn_egg 狐狸 生怪蛋
frog_spawn_egg 青蛙 生怪蛋
ghast_spawn_egg 地獄幽靈 生怪蛋
glow_squid_spawn_egg 螢光魷魚 生怪蛋
goat_spawn_egg 山羊 生怪蛋
guardian_spawn_egg 深海守衛 生怪蛋
hoglin_spawn_egg 豬布獸 生怪蛋
horse_spawn_egg 馬 生怪蛋
husk_spawn_egg 屍殼 生怪蛋
llama_spawn_egg 駱馬 生怪蛋
magma_cube_spawn_egg 岩漿立方怪 生怪蛋
mooshroom_spawn_egg 哞菇 生怪蛋
mule_spawn_egg 騾子 生怪蛋
ocelot_spawn_egg 山貓 生怪蛋
panda_spawn_egg 貓熊 生怪蛋
parrot_spawn_egg 鸚鵡 生怪蛋
phantom_spawn_egg 夜魅 生怪蛋
pig_spawn_egg 豬 生怪蛋
piglin_spawn_egg 豬布林 生怪蛋
piglin_brute_spawn_egg 豬布林蠻兵 生怪蛋
pillager_spawn_egg 掠奪者 生怪蛋
polar_bear_spawn_egg 北極熊 生怪蛋
pufferfish_spawn_egg 河豚 生怪蛋
rabbit_spawn_egg 兔子 生怪蛋
ravager_spawn_egg 劫毀獸 生怪蛋
salmon_spawn_egg 鮭魚 生怪蛋
sheep_spawn_egg 綿羊 生怪蛋
shulker_spawn_egg 界伏蚌 生怪蛋
silverfish_spawn_egg 蠹魚 生怪蛋
skeleton_spawn_egg 骷髏 生怪蛋
skeleton_horse_spawn_egg 骷髏馬 生怪蛋
slime_spawn_egg 史萊姆 生怪蛋
spider_spawn_egg 蜘蛛 生怪蛋
squid_spawn_egg 魷魚 生怪蛋
stray_spawn_egg 流髑 生怪蛋
strider_spawn_egg 熾足獸 生怪蛋
tadpole_spawn_egg 蝌蚪 生怪蛋
trader_llama_spawn_egg 商駝 生怪蛋
tropical_fish_spawn_egg 熱帶魚 生怪蛋
turtle_spawn_egg 海龜 生怪蛋
vex_spawn_egg 惱鬼 生怪蛋
villager_spawn_egg 村民 生怪蛋
vindicator_spawn_egg 衛道士 生怪蛋
wandering_trader_spawn_egg 流浪商人 生怪蛋
warden_spawn_egg 伏守者 生怪蛋
witch_spawn_egg 女巫 生怪蛋
wither_skeleton_spawn_egg 凋零骷髏 生怪蛋
wolf_spawn_egg 狼 生怪蛋
zoglin_spawn_egg 豬屍獸 生怪蛋
zombie_spawn_egg 殭屍 生怪蛋
zombie_horse_spawn_egg 殭屍馬 生怪蛋
zombie_villager_spawn_egg 殭屍村民 生怪蛋
zombified_piglin_spawn_egg 殭屍化豬布林 生怪蛋
experience_bottle 經驗瓶
fire_charge 火焰彈
writable_book 書和羽毛筆
item_frame 物品展示框
glow_item_frame 螢光物品展示框
flower_pot 花盆
carrot 胡蘿蔔
potato 馬鈴薯
baked_potato 烤馬鈴薯
poisonous_potato 毒馬鈴薯
map 空白彩繪畫布
golden_carrot 金胡蘿蔔
skeleton_skull 骷髏頭顱
wither_skeleton_skull 凋零骷髏頭顱
player_head 玩家頭顱
zombie_head 殭屍頭顱
creeper_head 苦力怕頭顱
dragon_head 龍首
nether_star 地獄之星
pumpkin_pie 南瓜派
firework_rocket 煙火
firework_star 火藥球
nether_brick 地獄磚頭
prismarine_shard 海磷碎片
prismarine_crystals 海磷晶體
rabbit 生兔肉
cooked_rabbit 烤兔肉
rabbit_stew 兔肉湯
rabbit_foot 兔子腳
rabbit_hide 兔子皮
armor_stand 盔甲座
iron_horse_armor 鐵製馬鎧
golden_horse_armor 黃金製馬鎧
diamond_horse_armor 鑽石製馬鎧
leather_horse_armor 皮革製馬鎧
lead 拴繩
name_tag 命名牌
mutton 生羊肉
cooked_mutton 烤羊肉
white_banner 白色旗幟
orange_banner 橙色旗幟
magenta_banner 洋紅色旗幟
light_blue_banner 淺藍色旗幟
yellow_banner 黃色旗幟
lime_banner 淺綠色旗幟
pink_banner 粉紅色旗幟
gray_banner 灰色旗幟
light_gray_banner 淺灰色旗幟
cyan_banner 青色旗幟
purple_banner 紫色旗幟
blue_banner 藍色旗幟
brown_banner 棕色旗幟
green_banner 綠色旗幟
red_banner 紅色旗幟
black_banner 黑色旗幟
end_crystal 終界水晶
chorus_fruit 歌萊果
popped_chorus_fruit 爆開的歌萊果
beetroot 甜菜根
beetroot_seeds 甜菜種子
beetroot_soup 甜菜湯
dragon_breath 龍之吐息
splash_potion 飛濺藥水
spectral_arrow 追跡之箭
tipped_arrow 藥水箭
lingering_potion 滯留藥水
shield 盾牌
totem_of_undying 不死圖騰
shulker_shell 界伏殼
iron_nugget 鐵粒
music_disc_13 唱片
music_disc_cat 唱片
music_disc_blocks 唱片
music_disc_chirp 唱片
music_disc_far 唱片
music_disc_mall 唱片
music_disc_mellohi 唱片
music_disc_stal 唱片
music_disc_strad 唱片
music_disc_ward 唱片
music_disc_11 唱片
music_disc_wait 唱片
music_disc_otherside 唱片
music_disc_5 唱片
music_disc_pigstep 唱片
disc_fragment_5 唱片碎片
trident 三叉戟
phantom_membrane 夜魅皮膜
nautilus_shell 鸚鵡螺殼
heart_of_the_sea 海洋之心
crossbow 弩
suspicious_stew 可疑的燉湯
loom 紡織機
flower_banner_pattern 旗幟圖案
creeper_banner_pattern 旗幟圖案
skull_banner_pattern 旗幟圖案
mojang_banner_pattern 旗幟圖案
globe_banner_pattern 旗幟圖案
piglin_banner_pattern 旗幟圖案
goat_horn 山羊角
composter 堆肥箱
barrel 木桶
smoker 煙燻爐
blast_furnace 高爐
cartography_table 製圖台
fletching_table 製箭台
grindstone 砂輪
smithing_table 鍛造台
stonecutter 切石機
bell 鐘
lantern 燈籠
soul_lantern 靈魂燈籠
sweet_berries 甜莓
glow_berries 螢光莓
campfire 營火
soul_campfire 靈魂營火
shroomlight 蕈光體
honeycomb 蜂巢
bee_nest 蜂窩
beehive 蜂箱
honey_bottle 蜂蜜瓶
honeycomb_block 蜂巢塊
lodestone 磁石
crying_obsidian 哭泣的黑曜石
blackstone 黑石
blackstone_slab 黑石半磚
blackstone_stairs 黑石階梯
gilded_blackstone 鑲金黑石
polished_blackstone 拋光黑石
polished_blackstone_slab 拋光黑石半磚
polished_blackstone_stairs 拋光黑石階梯
chiseled_polished_blackstone 浮雕拋光黑石
polished_blackstone_bricks 拋光黑石磚
polished_blackstone_brick_slab 拋光黑石磚半磚
polished_blackstone_brick_stairs 拋光黑石磚階梯
cracked_polished_blackstone_bricks 裂紋拋光黑石磚
respawn_anchor 重生錨
candle 蠟燭
white_candle 白色蠟燭
orange_candle 橙色蠟燭
magenta_candle 洋紅色蠟燭
light_blue_candle 淺藍色蠟燭
yellow_candle 黃色蠟燭
lime_candle 淺綠色蠟燭
pink_candle 粉紅色蠟燭
gray_candle 灰色蠟燭
light_gray_candle 淺灰色蠟燭
cyan_candle 青色蠟燭
purple_candle 紫色蠟燭
blue_candle 藍色蠟燭
brown_candle 棕色蠟燭
green_candle 綠色蠟燭
red_candle 紅色蠟燭
black_candle 黑色蠟燭
small_amethyst_bud 小型紫水晶芽
medium_amethyst_bud 中型紫水晶芽
large_amethyst_bud 大型紫水晶芽
amethyst_cluster 紫水晶晶簇
pointed_dripstone 鐘乳石
ochre_froglight 赭黃蛙光體
verdant_froglight 蒼翠蛙光體
pearlescent_froglight 珠紫蛙光體
frogspawn 青蛙卵
echo_shard 回聲碎片
coin_copper 銅幣
coin_iron 鐵幣
coin_silver 銀幣
coin_gold 金幣
coin_star 星幣
currency_converter 貨幣轉換包
slime_chunk_probe 史萊姆區塊探針
red_mushroom_block 紅色蘑菇方塊
brown_mushroom_block 棕色蘑菇方塊
mushroom_stem 蘑菇柄
simple_elevator 電梯
simple_elevator_redstone_signal 紅石電梯
dragon_tooth 龍牙
dragon_blood_tooth 血龍牙
magic_nether_star 魔法地獄之星
nightmare_crystal 夢魘結晶
nightmare_crystal_fragment 夢魘結晶碎片
nightmare_crystal_ore 夢魘結晶礦
dragon_tooth_pickaxe 龍牙鎬
dragon_tooth_axe 龍牙斧
dragon_tooth_bow 龍牙弓
dragon_tooth_sword 龍牙劍
dragon_tooth_shovel 龍牙鏟
dragon_tooth_hoe 龍牙鋤
dragon_blood_tooth_pickaxe 血龍牙鎬
dragon_blood_tooth_axe 血龍牙斧
dragon_blood_tooth_bow 血龍牙弓
dragon_blood_tooth_sword 血龍牙劍
dragon_blood_tooth_shovel 血龍牙鏟
dragon_blood_tooth_hoe 血龍牙鋤
nightmare_crystal_pickaxe 夢魘結晶鎬
nightmare_crystal_axe 夢魘結晶斧
nightmare_crystal_bow 夢魘結晶弓
nightmare_crystal_sword 夢魘結晶劍
nightmare_crystal_shovel 夢魘結晶鏟
nightmare_crystal_hoe 夢魘結晶鋤
dragon_tooth_helmet 龍牙頭盔
dragon_tooth_chestplate 龍牙胸甲
dragon_tooth_leggings 龍牙護腿
dragon_tooth_boots 龍牙靴子
dragon_blood_tooth_helmet 血龍牙頭盔
dragon_blood_tooth_chestplate 血龍牙胸甲
dragon_blood_tooth_leggings 血龍牙護腿
dragon_blood_tooth_boots 血龍牙靴子
nightmare_crystal_helmet 夢魘結晶頭盔
nightmare_crystal_chestplate 夢魘結晶胸甲
nightmare_crystal_leggings 夢魘結晶護腿
nightmare_crystal_boots 夢魘結晶靴子
dragon_hammer 龍槌
railway_acceleration_block 增加鐵路速限器
railway_decelerate_block 減少鐵路速限器
railway_exclude_block 強制鐵路方向器
peaceful_proof 和平之證
peaceful_block 和平方塊
peaceful_block_forever 永遠和平方塊
powerful_ejector_block 動力彈射器
palette 調色盤
needle_pen 針筆
fine_pen 細筆
pen 筆
thick_pen 粗筆
plate_brush 板刷
sound_bell_kizuna_akari 聲音鈴鐺
sound_bell_yuzuki_yukari 聲音鈴鐺
sound_bell_kotonoha_akane 聲音鈴鐺
sound_bell_kotonoha_aoi 聲音鈴鐺
sound_bell_iori_yuzuru 聲音鈴鐺
beef_jerky 牛肉乾
mouldy_bread 發黴麵包
cheese 起司
beef_cheese_sandwich 牛肉起司三明治
chocolate 巧克力
chocolate_cake 巧克力蛋糕
chocolate_bread 巧克力麵包
chocolate_cookie 巧克力餅乾
ice_cream_cone 冰淇淋甜筒
chocolate_ice_cream_cone 巧克力冰淇淋甜筒
sweet_berries_ice_cream_cone 甜莓冰淇淋甜筒
super_fish_cracker 超級魚餅乾
canned_cat 貓罐頭
rename_milk 改名牛奶
barter_menu 貿易書
logger_menu 紀錄書
lottery_ticket_preparation 空的抽獎卷
entity_exterior_tag 玩家牌
notification_block 通知器
soul_link_core 靈魂鎖定核心
soul_untie_core 靈魂釋放核心
command_subtitle_block 小標題指令方塊
command_title_block 標題指令方塊
world_map_view_closest 彗星地圖
world_map_view_close 彗星地圖
world_map_view_normal 彗星地圖
world_map_view_far 彗星地圖
world_map_view_farthest 彗星地圖
world_map_capture 擷取彗星地圖
land_system_book_empty 未啟用的領地群組之書
land_flying_device 領地飛行鞘翅
cat_hat_black 貓帽
cat_hat_british_shorthair 貓帽
cat_hat_baby_calico 貓帽
cat_hat_jellie 貓帽
cat_hat_persian 貓帽
cat_hat_ragdoll 貓帽
cat_hat_red 貓帽
cat_hat_siamese 貓帽
cat_hat_tabby 貓帽
cat_hat_tuxedo 貓帽
cat_hat_baby_white 貓帽
cat_hat_strawberry 貓帽
cat_hat_pudding 貓帽
cat_hat_cherry 貓帽
cat_hat_firecracker 貓帽
cat_hat_rainbow 貓帽
cat_ear_black 貓耳
cat_ear_blue 貓耳
cat_ear_brown 貓耳
cat_ear_cyan 貓耳
cat_ear_gray 貓耳
cat_ear_green 貓耳
cat_ear_light_blue 貓耳
cat_ear_light_gray 貓耳
cat_ear_lime 貓耳
cat_ear_magenta 貓耳
cat_ear_orange 貓耳
cat_ear_pink 貓耳
cat_ear_purple 貓耳
cat_ear_red 貓耳
cat_ear_white 貓耳
cat_ear_yellow 貓耳
cat_ear_rainbow 貓耳
rabbit_ear_black 兔耳
rabbit_ear_blue 兔耳
rabbit_ear_brown 兔耳
rabbit_ear_cyan 兔耳
rabbit_ear_gray 兔耳
rabbit_ear_green 兔耳
rabbit_ear_light_blue 兔耳
rabbit_ear_light_gray 兔耳
rabbit_ear_lime 兔耳
rabbit_ear_magenta 兔耳
rabbit_ear_orange 兔耳
rabbit_ear_pink 兔耳
rabbit_ear_purple 兔耳
rabbit_ear_red 兔耳
rabbit_ear_white 兔耳
rabbit_ear_yellow 兔耳
rabbit_ear_rainbow 兔耳
angel_circle_black 天使環
angel_circle_blue 天使環
angel_circle_brown 天使環
angel_circle_cyan 天使環
angel_circle_gray 天使環
angel_circle_green 天使環
angel_circle_light_blue 天使環
angel_circle_light_gray 天使環
angel_circle_lime 天使環
angel_circle_magenta 天使環
angel_circle_orange 天使環
angel_circle_pink 天使環
angel_circle_purple 天使環
angel_circle_red 天使環
angel_circle_white 天使環
angel_circle_yellow 天使環
angel_circle_rainbow 天使環
demon_corner_black 惡魔角
demon_corner_blue 惡魔角
demon_corner_brown 惡魔角
demon_corner_cyan 惡魔角
demon_corner_gray 惡魔角
demon_corner_green 惡魔角
demon_corner_light_blue 惡魔角
demon_corner_light_gray 惡魔角
demon_corner_lime 惡魔角
demon_corner_magenta 惡魔角
demon_corner_orange 惡魔角
demon_corner_pink 惡魔角
demon_corner_purple 惡魔角
demon_corner_red 惡魔角
demon_corner_white 惡魔角
demon_corner_yellow 惡魔角
demon_corner_rainbow 惡魔角
deer_horn_black 鹿角
deer_horn_blue 鹿角
deer_horn_brown 鹿角
deer_horn_cyan 鹿角
deer_horn_gray 鹿角
deer_horn_green 鹿角
deer_horn_light_blue 鹿角
deer_horn_light_gray 鹿角
deer_horn_lime 鹿角
deer_horn_magenta 鹿角
deer_horn_orange 鹿角
deer_horn_pink 鹿角
deer_horn_purple 鹿角
deer_horn_red 鹿角
deer_horn_white 鹿角
deer_horn_yellow 鹿角
deer_horn_rainbow 鹿角
alien_antenna 天線
headband_headset 耳罩
wither_bone_meal 凋零粉
advanced_tnt_x5 x5高級TNT
advanced_tnt_x9 x9高級TNT
advanced_tnt_x15 x15高級TNT
advanced_tnt_x25 x25高級TNT
advanced_tnt_x43 x43高級TNT
advanced_tnt_x73 x73高級TNT
advanced_tnt_x5_silk_touch x5絲綢之觸高級TNT
advanced_tnt_x9_silk_touch x9絲綢之觸高級TNT
advanced_tnt_x15_silk_touch x15絲綢之觸高級TNT
advanced_tnt_x25_silk_touch x25絲綢之觸高級TNT
advanced_tnt_x43_silk_touch x43絲綢之觸高級TNT
advanced_tnt_x73_silk_touch x73絲綢之觸高級TNT
amiability_rope_empty 空的友善生物收納繩
malicious_rope_empty 空的邪惡生物收納繩
fast_fill_magic_wand_stone 快速填充魔法石杖
fast_fill_magic_wand_iron 快速填充魔法鐵杖
fast_fill_magic_wand_diamond 快速填充魔法鑽石杖
fast_fill_magic_wand_netherite 快速填充魔法獄髓杖
fast_fill_magic_wand_star 快速填充魔法星杖
fast_fill_magic_wand_dragon 快速填充魔法龍杖
fast_fill_magic_wand_tooth 快速填充魔法龍牙杖
fast_fill_magic_wand_blood_tooth 快速填充魔法血龍牙杖
fast_fill_magic_wand_nightmare_crystal 快速填充魔法夢魘結晶杖
fast_fill_magic_wand_creative 快速填充魔法創造者杖
fast_break_magic_wand_stone 快速破壞魔法石杖
fast_break_magic_wand_iron 快速破壞魔法鐵杖
fast_break_magic_wand_diamond 快速破壞魔法鑽石杖
fast_break_magic_wand_netherite 快速破壞魔法獄髓杖
fast_break_magic_wand_star 快速破壞魔法星杖
fast_break_magic_wand_dragon 快速破壞魔法龍杖
fast_break_magic_wand_tooth 快速破壞魔法龍牙杖
fast_break_magic_wand_blood_tooth 快速破壞魔法血龍牙杖
fast_break_magic_wand_nightmare_crystal 快速破壞魔法夢魘結晶杖
fast_break_magic_wand_creative 快速破壞魔法創造者杖
record_point_gemstone 記錄寶石
record_point_light_blue_banner 可記錄點的淺藍色旗幟
record_point_pink_banner 可記錄點的粉紅色旗幟
record_point_green_banner 可記錄點的綠色旗幟
record_point_gray_banner 可記錄點的灰色旗幟
record_point_purple_banner 可記錄點的紫色旗幟
record_point_blue_banner 可記錄點的藍色旗幟
record_point_yellow_banner 可記錄點的黃色旗幟
record_point_magenta_banner 可記錄點的洋紅色旗幟
record_point_light_gray_banner 可記錄點的淺灰色旗幟
record_point_lime_banner 可記錄點的淺綠色旗幟
record_point_brown_banner 可記錄點的棕色旗幟
record_point_cyan_banner 可記錄點的青色旗幟
record_point_black_banner 可記錄點的黑色旗幟
record_point_orange_banner 可記錄點的橙色旗幟
record_point_red_banner 可記錄點的紅色旗幟
record_point_white_banner 可記錄點的白色旗幟
back_golden_apple 重生金蘋果
back_gemstone 重生寶石
back_gemstone_block 重生寶石方塊
transfer_golden_apple 傳送金蘋果
transfer_gemstone 傳送寶石
transfer_gemstone_block 傳送寶石方塊
transfer_book 傳送之書
random_transfer_golden_apple 隨機傳送金蘋果
random_transfer_gemstone 隨機傳送寶石
random_transfer_gemstone_block 隨機傳送寶石方塊
invite_transfer_gemstone 邀請傳送寶石
exchange_record_gemstone_empty 交換紀錄寶石
invisible_light_5 小隱形光源
invisible_light_10 中隱形光源
invisible_light_15 大隱形光源
cat_palm_glove_black 貓掌
cat_palm_stick_black 貓掌棒
cat_palm_glove_blue 貓掌
cat_palm_stick_blue 貓掌棒
cat_palm_glove_brown 貓掌
cat_palm_stick_brown 貓掌棒
cat_palm_glove_cyan 貓掌
cat_palm_stick_cyan 貓掌棒
cat_palm_glove_gray 貓掌
cat_palm_stick_gray 貓掌棒
cat_palm_glove_green 貓掌
cat_palm_stick_green 貓掌棒
cat_palm_glove_light_blue 貓掌
cat_palm_stick_light_blue 貓掌棒
cat_palm_glove_light_gray 貓掌
cat_palm_stick_light_gray 貓掌棒
cat_palm_glove_lime 貓掌
cat_palm_stick_lime 貓掌棒
cat_palm_glove_magenta 貓掌
cat_palm_stick_magenta 貓掌棒
cat_palm_glove_orange 貓掌
cat_palm_stick_orange 貓掌棒
cat_palm_glove_pink 貓掌
cat_palm_stick_pink 貓掌棒
cat_palm_glove_purple 貓掌
cat_palm_stick_purple 貓掌棒
cat_palm_glove_red 貓掌
cat_palm_stick_red 貓掌棒
cat_palm_glove_white 貓掌
cat_palm_stick_white 貓掌棒
cat_palm_glove_yellow 貓掌
cat_palm_stick_yellow 貓掌棒
cat_palm_glove_rainbow 貓掌
cat_palm_stick_rainbow 貓掌棒
restricted_crafting_table 工作檯限制器
